Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron,Note
2019-10-27,Breakfast,143.0,9.5,3.1,1.9,3.7,0.0,372.0,142.0,138.0,0.7,0.0,0.4,12.6,160.0,0.0,56.0,1.8,
2019-10-27,Lunch,489.3,19.0,2.3,1.4,11.5,0.0,0.0,350.4,0.1,76.0,3.0,5.0,9.0,20.0,40.0,2.0,12.5,
2019-10-27,Dinner,200.0,9.5,2.0,2.0,0.0,0.0,125.0,420.0,395.0,0.0,0.0,0.0,28.0,2.0,0.0,25.0,2.0,
2019-10-27,Snacks,191.2,9.8,3.2,2.0,3.7,0.0,372.0,143.4,275.5,13.0,0.6,12.1,13.1,161.4,4.8,57.0,3.0,
2019-10-28,Breakfast,214.5,14.3,4.7,2.9,5.5,0.1,558.0,213.0,207.0,1.1,0.0,0.6,18.8,240.0,0.0,84.0,2.6,
2019-10-28,Lunch,120.0,3.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,22.0,4.0,10.0,4.0,140.0,160.0,12.0,12.0,
2019-10-28,Dinner,1477.0,94.3,33.2,3.2,40.0,0.0,340.0,480.0,0.0,13.3,2.7,10.6,143.5,0.0,0.0,0.0,104.0,
2019-10-29,Breakfast,214.5,14.3,4.7,2.9,5.5,0.1,558.0,213.0,207.0,1.1,0.0,0.6,18.8,240.0,0.0,84.0,2.6,
2019-10-29,Lunch,587.2,48.8,17.6,5.2,23.0,0.0,119.0,1510.2,478.9,9.7,1.3,3.0,25.0,21.0,44.8,5.0,18.6,
2019-10-29,Dinner,646.1,7.8,1.3,1.9,0.9,0.0,119.8,463.5,1150.7,10.3,1.1,0.0,34.4,15.1,30.1,10.4,34.9,
2019-10-30,Dinner,903.3,38.9,13.2,2.8,5.3,0.7,110.8,644.6,1173.6,23.8,1.0,6.5,55.6,245.4,28.9,52.6,3.8,
2019-10-30,Snacks,263.1,21.2,5.4,3.4,1.3,0.0,30.0,583.8,10.7,10.5,2.0,6.6,10.1,81.5,45.0,15.4,0.7,
2019-10-31,Breakfast,348.0,27.6,7.9,6.0,0.0,0.0,459.0,358.0,379.0,9.9,1.4,3.3,15.3,25.1,4.5,10.9,17.8,
2019-10-31,Lunch,237.0,10.1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,13.3,2.7,10.6,26.5,0.0,0.0,0.0,0.0,
2019-10-31,Dinner,395.1,27.7,9.9,0.0,0.0,0.0,98.8,1817.3,0.0,11.9,0.0,4.0,27.7,0.0,0.0,7.9,7.9,
2019-10-31,Snacks,881.8,69.1,122.1,0.0,0.0,0.0,0.0,118.5,286.4,11.9,3.0,2.0,38.1,2.0,0.0,4.0,5.9,
2019-11-01,Breakfast,214.5,14.3,4.7,2.9,5.5,0.1,558.0,213.0,207.0,1.1,0.0,0.6,18.8,240.0,0.0,84.0,2.6,
2019-11-01,Lunch,370.0,28.0,6.5,0.0,0.0,0.0,85.0,370.0,180.0,5.0,2.0,2.0,27.0,0.0,0.0,8.0,15.8,
2019-11-01,Dinner,180.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,
2019-11-02,Breakfast,571.6,45.7,16.0,6.5,20.0,0.1,632.5,1277.6,488.5,2.5,0.0,1.6,35.8,240.0,1.4,85.0,11.4,
2019-11-02,Lunch,165.3,14.0,4.4,1.3,7.6,0.0,17.0,357.8,370.4,7.2,3.9,2.3,4.9,10.8,20.7,12.3,2.9,
2019-11-02,Dinner,1205.5,79.4,28.2,2.7,34.0,0.0,289.0,338.0,143.8,3.0,1.2,0.8,120.3,14.1,40.6,21.4,88.7,
2019-11-02,Snacks,180.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,
2019-11-03,Breakfast,534.5,42.3,14.7,6.9,17.5,0.1,618.0,1493.0,527.0,1.1,0.0,4.6,38.8,240.0,0.0,84.0,10.6,
2019-11-03,Lunch,740.5,46.8,16.6,1.6,20.0,0.0,170.0,225.0,143.8,8.0,2.2,3.8,72.3,34.1,80.6,23.4,56.3,
2019-11-03,Snacks,391.3,91.0,42.2,9.0,23.9,2.4,304.0,1689.3,858.3,27.2,6.0,15.1,72.0,45.1,22.0,165.3,9.1,
